plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG03,57813120,2009-12-01T00:00,NA,NA,NA,94.86,-1.97,6.61,-20.74
AEG03,57857760,2010-01-01T00:00,NA,NA,NA,98.64,-4.98,3.68,-12.73
AEG03,57902400,2010-02-01T00:00,NA,NA,NA,91.69,-1.89,9.81,-11.41
AEG03,57942720,2010-03-01T00:00,NA,NA,NA,82.57,1.88,17.92,-11.73
AEG03,57987360,2010-04-01T00:00,NA,NA,NA,76.28,7.20,22.72,-3.99
AEG03,58030560,2010-05-01T00:00,NA,NA,NA,99.03,8.44,22.48,-0.14
AEG03,58075200,2010-06-01T00:00,NA,NA,NA,98.12,14.51,26.31,3.37
AEG03,58118400,2010-07-01T00:00,NA,NA,NA,93.24,17.59,30.55,6.95
AEG03,58163040,2010-08-01T00:00,NA,NA,NA,90.76,14.33,26.84,5.74
AEG03,58207680,2010-09-01T00:00,NA,NA,NA,89.75,10.27,21.52,1.67
AEG03,58250880,2010-10-01T00:00,NA,NA,NA,93.00,6.33,18.59,-2.60
AEG03,58295520,2010-11-01T00:00,NA,NA,NA,97.82,2.60,17.46,-10.67
AEG03,58338720,2010-12-01T00:00,NA,NA,NA,99.89,-3.95,7.93,-15.34
AEG03,58383360,2011-01-01T00:00,NA,NA,NA,99.89,-1.59,10.59,-13.33
AEG03,58428000,2011-02-01T00:00,NA,NA,NA,99.89,-0.36,13.18,-12.87
AEG03,58468320,2011-03-01T00:00,NA,NA,NA,95.83,4.11,15.90,-7.36
AEG03,58512960,2011-04-01T00:00,NA,NA,NA,92.82,10.07,21.69,-0.82
AEG03,58556160,2011-05-01T00:00,NA,NA,NA,94.39,12.31,25.63,-2.26
AEG03,58600800,2011-06-01T00:00,NA,NA,NA,99.80,14.15,28.67,6.26
AEG03,58644000,2011-07-01T00:00,NA,NA,NA,99.74,13.57,26.46,4.39
AEG03,58688640,2011-08-01T00:00,NA,NA,NA,93.29,16.64,30.63,5.72
