Explo;EP_Plotid;initial_landuse_type;2006;2007;2008;2009;2010;2011;2012;new_landuse_type;notes
HAI;HEG10;Meadow_fertilised;Meadow_fertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_fertilised;
HAI;HEG11;Meadow_fertilised;Meadow_fertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_unfertilised;Meadow_unfertilised;Mown pasture_fertilised;
HAI;HEG12;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Pasture_cattle_fertilised;Pasture_cattle_fertilised;Pasture_cattle_fertilised;Pasture_cattle_fertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_fertilised;
HAI;HEG13;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG14;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG15;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG16;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG17;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG18;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG19;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG20;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasturesheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG21;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG22;Mown pasture_sheep_fertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;
HAI;HEG23;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG24;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG25;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;
HAI;HEG26;Meadow_fertilised;Meadow_fertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_fertilised;Meadow_unfertilised;Meadow_fertilised;
HAI;HEG27;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;
